Total Reads                   47039370
Total Tags                    70386865
Total Assigned Tags           69502782
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           121533301           65092906            535.60            
5'UTR_Exons         0                   0                   0.00              
3'UTR_Exons         0                   0                   0.00              
Introns             1471768983          3571126             2.43              
TSS_up_1kb          21057590            191588              9.10              
TSS_up_5kb          95879215            448945              4.68              
TSS_up_10kb         177099366           561600              3.17              
TES_down_1kb        23369863            58764               2.51              
TES_down_5kb        102580558           174792              1.70              
TES_down_10kb       184137734           277150              1.51              
=====================================================================
