"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FCER1G",2.4140087451944e-27,-2.82568963198668,0.193,0.924,7.33303436527703e-23
"MS4A6A",1.61147393744782e-25,-2.64262135666791,0.193,0.924,4.89517437978524e-21
"CD4",1.21082707723308e-23,-2.42017727820933,0.211,0.924,3.67812941251092e-19
"C12orf75",3.1768442564584e-23,-2.39829789146016,0.253,0.924,9.65029979784367e-19
"DAB2",3.45881813565639e-23,-3.13627474342951,0.102,0.758,1.05068518506834e-18
"TXN",1.27507076980505e-21,-2.55056862562855,0.307,0.939,3.87328247743681e-17
"CTSC",1.48168766548921e-21,-2.27548633330486,0.295,0.924,4.50092262145659e-17
"JCHAIN",1.54979107204024e-21,-2.58691025396982,0.422,0.939,4.70780033953665e-17
"GZMB",1.6347380084912e-21,-2.08179272725872,0.187,0.924,4.96584364839372e-17
"RPS26",1.86548201643195e-21,1.87729400422906,0.982,0.864,5.66677472131534e-17
"CLEC4C",2.228833921412e-21,-2.42350382215451,0.139,0.803,6.77052880307323e-17
"LILRA4",2.39933737466014e-21,-2.20890134136271,0.187,0.894,7.2884671430051e-17
"RNF130",3.9530103577933e-21,-2.24252132121867,0.229,0.894,1.20080595638687e-16
"SRGN",1.32203202557731e-20,-2.13035103555337,0.337,0.924,4.0159366840962e-16
"SLAMF7",1.84710312351226e-20,-2.30084372287114,0.187,0.833,5.61094515829318e-16
"FYB1",4.4262939363395e-20,-2.59912086775186,0.217,0.833,1.34457530904185e-15
"TNFRSF21",5.95808458254708e-20,-2.55186133708711,0.157,0.773,1.80988735364033e-15
"SAMHD1",6.72965726703628e-20,-1.99172547401045,0.283,0.909,2.04426798800761e-15
"ENSG00000225885",7.90812244764286e-20,-1.9987261372387,0.181,0.848,2.40225035592047e-15
"NPC1",9.06848070562414e-20,-2.43258587497171,0.139,0.788,2.75473238394745e-15
"TGFBI",1.0914021410147e-19,-2.25062736594455,0.157,0.803,3.31535228376035e-15
"NUCB2",2.02621943635072e-19,-2.32127785765396,0.193,0.818,6.15504678180258e-15
"PTPRE",2.22811083737726e-19,-1.97053949282769,0.181,0.864,6.7683322907009e-15
"ZFAT",3.17439143913752e-19,-2.00835896496887,0.199,0.864,9.64284887466804e-15
"TYROBP",3.53394804074695e-19,-1.97366756015598,0.205,0.864,1.0735073963377e-14
"PACSIN1",4.06006981919278e-19,-2.20782678489069,0.169,0.818,1.23332740897619e-14
"P2RY14",4.52159791525414e-19,-2.18601044109035,0.217,0.848,1.37352579871675e-14
"SPCS1",5.05670267525018e-19,-1.96528255116275,0.428,0.924,1.53607457166075e-14
"HIGD1A",5.27662924406915e-19,-3.13877796485576,0.127,0.682,1.60288166547089e-14
"CCDC50",7.35158787720289e-19,-1.81034626924638,0.5,0.939,2.23319184945792e-14
"NPC2",9.30620239055491e-19,-1.99353283813136,0.301,0.909,2.82694510017886e-14
"TNFSF13B",2.51078632579795e-18,-3.00241928238467,0.108,0.667,7.62701562187643e-14
"SERPINF1",3.87876692675182e-18,-2.0135583294282,0.211,0.848,1.1782530293394e-13
"CD36",4.74051734333277e-18,-1.9568663595382,0.157,0.788,1.44002695338419e-13
"SEC61B",5.71942894533541e-18,-1.96186484955058,0.277,0.864,1.73739093072454e-13
"IRF8",5.77676721531936e-18,-1.6023398252683,0.729,0.985,1.75480857699756e-13
"TEX2",9.30290383605541e-18,-2.71011060818725,0.096,0.652,2.82594309827855e-13
"CSF2RB",1.08486051264606e-17,-2.19913974369635,0.235,0.833,3.29548077926495e-13
"PLEK",1.27520841328683e-17,-1.82825028098671,0.428,0.909,3.8737005970414e-13
"TPM2",1.59507564102269e-17,-2.70471474601784,0.108,0.667,4.84536127473463e-13
"MS4A1",2.43601626789284e-17,3.11824119585747,0.783,0.076,7.39988661697808e-13
"PLAC8",3.32259176839068e-17,-1.61723698102245,0.548,0.97,1.00930370148404e-12
"MGST2",3.51600541319104e-17,-2.7710516971266,0.12,0.667,1.06805696436504e-12
"LILRB4",3.59912891190866e-17,-1.84530357453303,0.193,0.803,1.09330738957049e-12
"RUNX2",3.73466237481865e-17,-1.54568979034284,0.187,0.803,1.13447838959866e-12
"SIRPB1",4.53291965292079e-17,-2.77991485063354,0.096,0.621,1.37696500296775e-12
"PHEX",4.84009130883544e-17,-1.90494929549911,0.175,0.788,1.47027453688494e-12
"CTSB",5.09774697775748e-17,-1.78954673331405,0.458,0.924,1.54854259943339e-12
"DNASE1L3",1.13461081078361e-16,-2.97607866496923,0.163,0.697,3.44660725991737e-12
"SCARB1",1.182616811334e-16,-3.73892714588209,0.042,0.5,3.59243508778931e-12
"ALOX5AP",1.1917081434104e-16,-2.06616528574805,0.416,0.864,3.62005182723777e-12
"HERPUD1",1.67652789623452e-16,-1.60405426240675,0.458,0.955,5.09278879039159e-12
"APP",1.75775263147081e-16,-1.70395815038703,0.337,0.924,5.33952516861888e-12
"LAMP5",2.02888459868476e-16,-2.10130781434698,0.151,0.742,6.16314274542468e-12
"IDH3A",2.11323165293513e-16,-1.92763984919925,0.265,0.848,6.41936379212105e-12
"CD79A",2.15314668324309e-16,3.25756177444821,0.759,0.152,6.54061367968754e-12
"PLD4",2.32966148776692e-16,-1.57592445823792,0.289,0.924,7.07681270138957e-12
"MPEG1",2.44017467493141e-16,-1.70387689563513,0.41,0.924,7.41251861003915e-12
"ENSG00000290149",3.03053539426504e-16,-4.44235214243288,0.012,0.409,9.20585736715891e-12
"CST3",3.03816092377788e-16,-2.16777753514911,0.193,0.773,9.22902143816008e-12
"CCR2",3.59392356906598e-16,-2.69014696896555,0.108,0.621,1.09172616257517e-11
"VAMP8",4.95421158247484e-16,-1.79002880142073,0.343,0.909,1.50494085240838e-11
"GRN",5.90255824826842e-16,-1.88110376532021,0.398,0.909,1.7930201190765e-11
"MYL12A",7.59690933800941e-16,-1.40911173193243,0.596,0.97,2.30771314960712e-11
"HS3ST3B1",9.74363758851125e-16,-3.45302261284335,0.036,0.47,2.95982479026206e-11
"UGCG",1.64682170045952e-15,-1.64249348769393,0.386,0.924,5.0025502794859e-11
"ATP5F1E",1.64869041554677e-15,-1.29995598577712,0.813,0.955,5.00822687530644e-11
"DHRS7",1.76121430123157e-15,-1.77892594622079,0.343,0.894,5.35004068285115e-11
"IL3RA",1.86507040372479e-15,-1.80941587512588,0.163,0.742,5.6655243653948e-11
"PTPRS",1.98636078158852e-15,-1.81829240241594,0.187,0.803,6.03396814623146e-11
"ZFP36L1",2.05766510202022e-15,2.66262900420062,0.843,0.424,6.25056928040683e-11
"PLEKHD1",2.06022888917083e-15,-6.28239840304328,0.006,0.364,6.25835729663424e-11
"SLC15A4",2.25076331407794e-15,-1.73969816120508,0.337,0.894,6.83714371917455e-11
"SLC35F3",2.57329649691689e-15,-2.14830239070936,0.12,0.652,7.81690276868443e-11
"SHTN1",3.10247414032168e-15,-2.59012625122201,0.114,0.621,9.42438569605518e-11
"MAPKAPK2",3.16241440856545e-15,-1.84723813546527,0.241,0.833,9.60646624889927e-11
"TSPAN13",3.18779632492355e-15,-1.70094448387497,0.361,0.879,9.68356889622027e-11
"SULF2",3.66525409367648e-15,-2.07565012777429,0.157,0.712,1.1133942360361e-10
"ENPP2",3.80367660549487e-15,-3.1294953919368,0.09,0.561,1.15544284245118e-10
"SELENOS",5.38967673254999e-15,-2.0732004550704,0.205,0.758,1.63722210104671e-10
"SEC61G",5.53647658278201e-15,-1.76017850154055,0.223,0.803,1.68181549155169e-10
"CCDC88A",5.82869795356945e-15,-1.6075902024576,0.283,0.879,1.77058357735579e-10
"CD52",8.11187652542291e-15,3.48125081026322,0.711,0.167,2.46414473212772e-10
"RBX1",1.40764383454575e-14,-2.03230731072844,0.217,0.758,4.27599967619963e-10
"SLC12A3",1.55354623144232e-14,-2.73104561067013,0.09,0.561,4.71920738725233e-10
"PPP1R14B",1.61131447132028e-14,-1.46097667544414,0.283,0.879,4.89468996952962e-10
"PSAP",1.99563979448531e-14,-1.5324682572815,0.506,0.924,6.06215500370802e-10
"ITM2C",2.54671264491392e-14,-1.70815690718421,0.331,0.848,7.73614900145502e-10
"DUSP5",2.5693280129843e-14,-1.45903236629974,0.175,0.773,7.8048477050424e-10
"IRF7",2.69731284986945e-14,-1.57720185822144,0.361,0.909,8.19362724404843e-10
"EIF4A3",2.76061471090926e-14,-2.04359621749952,0.187,0.712,8.38591930732905e-10
"CD164",3.13841906842076e-14,-1.50442888324256,0.464,0.909,9.53357560414174e-10
"IGFBP3",3.18163447609973e-14,-7.27906587121249,0,0.318,9.66485104804815e-10
"SUSD1",4.05417075520456e-14,-2.43334293497929,0.12,0.591,1.23153545030849e-09
"PDIA4",4.35512781699423e-14,-2.05538107199109,0.169,0.682,1.32295717696834e-09
"DPYSL2",4.59110621130243e-14,-1.79583277904104,0.175,0.727,1.39464033380734e-09
"CUX2",5.87716936694097e-14,-1.92133057201307,0.09,0.561,1.78530773859566e-09
"RNASE6",6.38033452049114e-14,-1.52789828640933,0.512,0.894,1.93815421728959e-09
"ARHGAP18",6.39474262032183e-14,-2.33273408516236,0.114,0.606,1.94253096577516e-09
"TXNIP",6.56057916067625e-14,2.32851285639534,0.867,0.682,1.99290713163863e-09
"ENSG00000291038",6.74638621300984e-14,-2.2007355202839,0.139,0.636,2.049349739926e-09
"SRP14",6.91357883839644e-14,-1.4819009068543,0.464,0.924,2.10013784373969e-09
"PRXL2A",7.5688781415379e-14,-2.35888080324661,0.102,0.576,2.29919811305497e-09
"OTULINL",1.13530606239507e-13,-2.74512876781386,0.084,0.53,3.44871922573751e-09
"PAX5",1.20750997395692e-13,4.81288881555916,0.596,0.045,3.66805304788893e-09
"CD22",1.23120901640013e-13,4.3099842014454,0.602,0.045,3.74004362911868e-09
"TPT1",1.63112763678248e-13,-0.840770836250251,0.994,0.985,4.95487642225413e-09
"STMN1",1.87067587835666e-13,-1.59622235954594,0.229,0.803,5.68255211568403e-09
"KCTD12",2.69290698385507e-13,-2.4463416887299,0.163,0.636,8.18024354485656e-09
"PAFAH2",3.23684061064512e-13,-2.37339624015112,0.12,0.576,9.83255072295667e-09
"ATP5MK",3.68558651200575e-13,-1.70242172177767,0.235,0.788,1.11957061475199e-08
"CERS6",4.08883401099166e-13,-1.65431973741701,0.157,0.652,1.24206510751894e-08
"ENSG00000286848",4.13078002094171e-13,-1.94817733988995,0.133,0.621,1.25480704696146e-08
"RPL8",4.48671432379986e-13,1.96715759427421,0.873,0.758,1.36292921014068e-08
"FCMR",4.86974076495005e-13,2.79726270771834,0.669,0.136,1.47928115216888e-08
"ENSG00000231424",5.31447557697033e-13,-2.71119075233309,0.048,0.439,1.61437824601628e-08
"PTMS",5.52924692471224e-13,-1.66319311241565,0.145,0.652,1.67961933831984e-08
"ERN1",5.90522520701644e-13,-1.5314363209748,0.205,0.758,1.79383026113538e-08
"LINC00996",6.72653615665941e-13,-1.55889836487822,0.193,0.727,2.04331988830843e-08
"MT-ATP8",7.14909449021595e-13,1.0145267463644,0.988,0.97,2.1716804332929e-08
"CD37",9.94835366313801e-13,1.47380474361613,0.928,0.833,3.02201139225143e-08
"LINC01724",1.26321641930065e-12,-3.93275731924914,0.042,0.394,3.83727251690958e-08
"COX5A",1.26966191551668e-12,-1.70720630969194,0.229,0.758,3.85685200076501e-08
"CMTM3",1.34251486699855e-12,-2.54802563500589,0.108,0.545,4.07815741148149e-08
"JAML",1.37782475847964e-12,-2.00310688316432,0.157,0.652,4.18541826883362e-08
"CCDC186",1.50539636802863e-12,-1.49864523774105,0.343,0.864,4.57294254716058e-08
"TMED10",1.53506321882818e-12,-1.46329225848321,0.434,0.864,4.66306153983437e-08
"S100A11",1.59133814986372e-12,-1.78952994653064,0.259,0.758,4.83400789784103e-08
"CDK2AP2",1.87435235404453e-12,-1.73927286309146,0.199,0.697,5.69372014588107e-08
"IRF2BP2",1.91309676055556e-12,-1.38319812504421,0.428,0.909,5.81141402953961e-08
"GNAQ",2.26446681396836e-12,-2.09529123540804,0.139,0.621,6.87877084079169e-08
"SMAP2",2.79210948035044e-12,2.49761491280025,0.765,0.424,8.48159096846054e-08
"ULK1",3.14043810437701e-12,-1.70162269227616,0.127,0.591,9.53970882966605e-08
"MAP1A",3.37707054975452e-12,-1.70104698022009,0.133,0.606,1.02585272089893e-07
"KIAA0930",3.37794991361418e-12,-2.10874473384803,0.108,0.545,1.02611984525858e-07
"TMEM8B",4.38769306222751e-12,-3.4362399326743,0.036,0.379,1.33284952151285e-07
"MS4A4A",4.99341584950855e-12,-3.45097814333103,0.036,0.379,1.51684993260521e-07
"HSP90B1",5.19620101197145e-12,-1.19117026150188,0.62,0.894,1.57844998140657e-07
"NRP1",5.27806149873528e-12,-2.11444021070868,0.133,0.591,1.60331674147082e-07
"H2BC21",5.31936873458183e-12,-2.17932891783817,0.193,0.652,1.61586464050392e-07
"NREP",5.45980211830805e-12,-1.76893248931345,0.145,0.621,1.65852408947844e-07
"MDFIC",5.55704120320188e-12,-1.18288235316176,0.355,0.924,1.68806240629664e-07
"ENSG00000290928",5.80914441824633e-12,-1.72959010596145,0.277,0.803,1.76464379993069e-07
"COL24A1",6.45334215224957e-12,-1.7018954682394,0.127,0.561,1.96033174558885e-07
"MAP2K6",6.67668303980301e-12,-2.03183174426875,0.108,0.545,2.02817600700096e-07
"ZDHHC17",7.68320372389861e-12,-1.59524670756884,0.259,0.773,2.33392679520868e-07
"SNCA",7.93219401637708e-12,-3.05493209930858,0.036,0.379,2.40956257635487e-07
"MYOF",8.13776862196465e-12,-2.92822272511914,0.036,0.379,2.4720099742942e-07
"SSR3",1.00892708933504e-11,-1.55279493104612,0.283,0.803,3.06481781927304e-07
"BASP1",1.0490669251903e-11,4.94278601110827,0.524,0.03,3.18675059865057e-07
"MCOLN2",1.1396416834697e-11,-1.58116717803561,0.169,0.652,3.46188954187592e-07
"PLAAT3",1.22839304157492e-11,-1.91936595387714,0.12,0.561,3.73148954239212e-07
"WAKMAR2",1.22839304157492e-11,-1.55686136056638,0.12,0.561,3.73148954239212e-07
"ALDH2",1.35352856813118e-11,-1.49756254867638,0.157,0.636,4.11161373141208e-07
"CD99",1.45287664300664e-11,-1.53111356278248,0.241,0.742,4.41340337846126e-07
"CPED1",1.5019534468547e-11,-2.40337987610385,0.108,0.53,4.56248398551053e-07
"LST1",1.59237439539466e-11,-2.29778544476043,0.066,0.455,4.83715570089035e-07
"IKZF3",1.73852360119866e-11,3.25337231416611,0.62,0.152,5.28111314336117e-07
"PTPRJ",1.91530884195877e-11,-1.62935742541046,0.205,0.682,5.81813366921815e-07
"PARK7",2.24908956849391e-11,-1.38684441757601,0.265,0.803,6.83205938221394e-07
"TMED9",2.41886228031941e-11,-1.69797205480959,0.253,0.712,7.34777794892628e-07
"CD24",2.46957762101413e-11,6.76460091395648,0.488,0.015,7.50183593935462e-07
"SERPING1",2.63144074001695e-11,-2.95009575328055,0.042,0.379,7.99352753594949e-07
"MCC",2.75306166598788e-11,-3.48978160368203,0.048,0.379,8.36297542277139e-07
"COMT",2.82319697514971e-11,-1.6242160646888,0.205,0.697,8.57602545141227e-07
"FERMT3",2.99017268898973e-11,-1.44122202585672,0.217,0.727,9.0832475773441e-07
"UNC93B1",3.3782981820764e-11,-1.40710050483981,0.331,0.818,1.02622563876935e-06
"SUB1",3.44600794265464e-11,-1.26455679237854,0.488,0.909,1.0467938327402e-06
"APEX1",4.38558694388531e-11,-1.29467983281078,0.289,0.803,1.33220974594404e-06
"GAS6",4.38936224273081e-11,-1.78078421012557,0.12,0.561,1.33335656847434e-06
"NME8",4.62107844695892e-11,-2.9100399684947,0.042,0.379,1.40374499983271e-06
"CXCR4",4.66008669088111e-11,1.80541179576298,0.861,0.712,1.41559453408896e-06
"CANX",4.67923798437828e-11,-1.43509330718523,0.386,0.833,1.42141212251459e-06
"NAGA",4.76420146060685e-11,-1.83518775271319,0.163,0.621,1.44722147768854e-06
"MLLT1",4.84238567949157e-11,-1.79930552597707,0.09,0.5,1.47097149785915e-06
"PLP2",4.84462151393327e-11,-1.24108858023949,0.5,0.894,1.47165067728751e-06
"SMPD3",5.6077894595642e-11,-1.63650753727859,0.175,0.636,1.70347820413182e-06
"ACOT7",5.95036520611467e-11,-2.94301287488004,0.048,0.379,1.80754243866145e-06
"RNF11",6.28972321561492e-11,-2.0514141136913,0.145,0.561,1.91062922120735e-06
"TCF4",7.30131903928756e-11,-0.995980170382809,0.765,0.939,2.21792168456438e-06
"EMC7",7.38856873404836e-11,-1.66536426614898,0.181,0.652,2.24442552434187e-06
"CORO1C",8.09849776422359e-11,-1.75296453967792,0.217,0.697,2.4600806658382e-06
"LINC00865",8.27097496246393e-11,-2.91864911481081,0.084,0.439,2.51247406434767e-06
"MAP1LC3B",8.35665224348089e-11,-1.51870079972624,0.307,0.773,2.53850025200219e-06
"KCTD5",8.84684790647579e-11,-1.56113938768159,0.211,0.682,2.68740698855015e-06
"OGT",1.01689712176009e-10,-1.20680050073127,0.41,0.894,3.08902838677062e-06
"BIRC3",1.12129284527839e-10,2.28901221657932,0.669,0.242,3.40615127610217e-06
"HOXB2",1.13988740824971e-10,-2.07852957396854,0.127,0.53,3.46263598004015e-06
"TEX14",1.1967844616072e-10,-1.53921055593273,0.175,0.606,3.63547215902418e-06
"ALG2",1.29837601074211e-10,-1.4969818424964,0.205,0.682,3.9440768078313e-06
"FEZ2",1.43848496047905e-10,-1.65048062597113,0.229,0.682,4.3696857644472e-06
"LINC01478",1.45922454242525e-10,-2.40093031554854,0.127,0.53,4.43268639252519e-06
"CHCHD2",1.50286665079982e-10,-1.22581515422965,0.416,0.894,4.56525802513461e-06
"S100A6",1.64714091057057e-10,-1.44251924860774,0.343,0.803,5.00351994404021e-06
"CYTH4",1.65141410576737e-10,-1.5485556776151,0.283,0.742,5.01650062908954e-06
"ENSG00000258657",1.80530404314775e-10,-2.59164851922808,0.054,0.394,5.48397209186994e-06
"RHEX",1.84759997209891e-10,-1.20585615609251,0.494,0.879,5.61245443524485e-06
"VIM",2.08823572250437e-10,-1.08289245434737,0.663,0.939,6.34343365425152e-06
"PAG1",2.18452860847334e-10,-1.48065912824261,0.205,0.682,6.63594255395946e-06
"GRAMD1B",2.20939905910884e-10,-2.2643807152573,0.127,0.53,6.71149152185491e-06
"SNX20",2.65103474094333e-10,-1.86803872752491,0.181,0.606,8.05304823256355e-06
"SRP19",2.74740117858176e-10,-1.42152161167736,0.271,0.742,8.34578056017782e-06
"EGLN3",2.97440618481577e-10,-2.39600881517645,0.072,0.424,9.03535366761485e-06
"EPHA2",2.98936640979231e-10,-2.04940958136606,0.12,0.515,9.08079834302611e-06
"MT-ND4L",3.00409665310664e-10,1.044130397366,0.958,0.985,9.12554440314203e-06
"IFNAR2",3.09979536597155e-10,-1.83179079173632,0.175,0.591,9.41624838321178e-06
"SEPTIN11",3.25225559824533e-10,-1.92963409322453,0.157,0.576,9.87937683078985e-06
"TMBIM6",3.8505847085344e-10,-0.989798330297119,0.705,0.924,1.1696921169115e-05
"CD2AP",4.04237777133735e-10,-1.21598375783625,0.337,0.788,1.22795309559915e-05
"HINT1",4.11363921028011e-10,-1.03321031392898,0.639,0.955,1.24960018290679e-05
"CTNS",4.2142760487238e-10,-2.08169078070691,0.084,0.455,1.28017063532083e-05
"CXCR3",4.40798716559372e-10,-2.12442720091222,0.127,0.515,1.33901426129241e-05
"ACTB",4.69229857907712e-10,-0.65840620458797,0.982,1,1.42537953936626e-05
"LINC01226",4.97219058235672e-10,-2.15610573214845,0.078,0.439,1.5104023332025e-05
"TM9SF2",5.35131565132352e-10,-1.21333047928662,0.343,0.833,1.62556915540255e-05
"POMP",6.39771451102025e-10,-1.33273176166772,0.289,0.773,1.94343373701262e-05
"ARF3",6.54745444093867e-10,-1.47668208658314,0.217,0.682,1.98892023552394e-05
"BRI3",6.91499625210953e-10,-1.46073011724477,0.301,0.788,2.10056841150331e-05
"TNFRSF13C",7.0149996838729e-10,7.38493719888857,0.422,0,2.13094645397007e-05
"RALGPS2",7.1843095891099e-10,3.85077039586681,0.566,0.182,2.18237772388392e-05
"AIF1",7.26373675913088e-10,-2.54784326817077,0.084,0.424,2.20650531532119e-05
"RGS1",8.27186395532619e-10,-1.38816328731978,0.223,0.682,2.51274411370944e-05
"P3H2",9.54153712646409e-10,-3.88396750895313,0.03,0.303,2.898432732906e-05
"ENSG00000281593",9.70181467089168e-10,-1.35165729128279,0.223,0.682,2.94712024257677e-05
"CD302",9.99051328573035e-10,-2.72365391096352,0.072,0.409,3.03481822080631e-05
"SLC7A11",1.07067664163288e-09,-2.62868965019166,0.06,0.379,3.25239443428819e-05
"QDPR",1.10010855190157e-09,-2.02965431086985,0.114,0.5,3.34179974811141e-05
"S100A4",1.1189178470443e-09,-1.74963031331913,0.241,0.667,3.39893674396648e-05
"SECTM1",1.22324227289269e-09,-3.50913030574666,0.024,0.288,3.71584305236613e-05
"ABHD15",1.32018214034325e-09,-1.51131441446194,0.181,0.621,4.0103172877207e-05
"SPN",1.3224815230067e-09,-1.88114847779193,0.163,0.561,4.01730212243744e-05
"CFL1",1.35191836514596e-09,-0.673393092868225,0.88,0.985,4.10672241780387e-05
"HMGN3",1.3720736357433e-09,-1.42029932297279,0.241,0.712,4.16794808329741e-05
"POLR2K",1.49260700069594e-09,-2.32792866230142,0.12,0.485,4.53409228601407e-05
"IGSF6",1.50641638492097e-09,-1.75756855149433,0.114,0.5,4.57604105247443e-05
"MT-ND3",1.52675917050551e-09,0.673516255572737,1,1,4.63783633224457e-05
"EPHB1",1.58239560661333e-09,-1.51879860499674,0.157,0.576,4.80684313420931e-05
"CD69",1.62825130929397e-09,3.20723866187817,0.53,0.076,4.94613900224228e-05
"SH3BP4",1.65433497691049e-09,-2.7715760240953,0.066,0.379,5.025373359361e-05
"NDUFB4",1.65669027256625e-09,-1.30947019049761,0.289,0.742,5.03252804097451e-05
"HYOU1",1.69849345251163e-09,-1.7295637147142,0.151,0.561,5.15951356069459e-05
"OPN3",1.82208638283875e-09,-1.27436801653485,0.325,0.788,5.53495180514927e-05
"CD93",1.83508164989907e-09,-5.14775456169753,0.006,0.227,5.57442752789842e-05
"IRF2BPL",1.84375591085132e-09,-1.38165609761554,0.253,0.742,5.60077733039305e-05
"DPP4",1.92733012537481e-09,-2.87971435439168,0.048,0.348,5.85465072185105e-05
"COMMD6",1.97722216244776e-09,-1.08901372601348,0.699,0.879,6.00620776286757e-05
"RUFY4",2.13640206800652e-09,-2.28576996223592,0.06,0.379,6.48974856198339e-05
"TMX3",2.22493035406651e-09,-1.48001690111785,0.193,0.636,6.75867093654784e-05
"GSN",2.23371166136974e-09,-1.3389449821471,0.205,0.652,6.78534591374285e-05
"SCN9A",2.29813067246151e-09,-1.45801266616278,0.12,0.5,6.98103154373634e-05
"ST3GAL2",2.46201606400961e-09,-1.26613640024109,0.241,0.712,7.478866197642e-05
"RNF5",2.52802328323009e-09,-1.49926388260225,0.199,0.606,7.67937632746804e-05
"POLB",2.55257409630129e-09,-1.46732022316656,0.175,0.591,7.75395433233443e-05
"ACTN4",2.57428284630498e-09,-1.35048054976124,0.301,0.758,7.81989900222062e-05
"SLC20A1",2.61465788989458e-09,-1.42529308988835,0.235,0.682,7.94254627213277e-05
"RAB11FIP1",2.63574491879408e-09,-1.05406846816527,0.259,0.758,8.00660233982077e-05
"RGS18",2.72953633625988e-09,-2.13720783115528,0.084,0.424,8.29151252865664e-05
"OSTC",2.82379139609327e-09,-1.28519408378473,0.235,0.682,8.57783112391252e-05
"ABHD6",2.86610602503089e-09,-2.5326850500546,0.066,0.379,8.70637027223632e-05
"P2RY6",3.0987921171998e-09,-1.39793034925657,0.145,0.561,9.41320081441784e-05
"TMEM258",3.12381400178882e-09,-1.26913757909107,0.422,0.864,9.4892097932339e-05
"MYL12B",3.25111904281023e-09,-1.09531986881735,0.554,0.894,9.87592431634463e-05
"PPM1J",3.3486456506719e-09,-1.76653245552948,0.114,0.485,0.00010172180893046
"ENSG00000290039",3.41567878208968e-09,-1.8922357560583,0.133,0.5,0.000103758074363538
"PAQR8",3.42263814107163e-09,-2.20497849028563,0.024,0.288,0.000103969478811333
"SLA2",3.44721773873939e-09,-1.83326262897568,0.139,0.515,0.000104716133249686
"ATP2B4",3.45086024507337e-09,-1.49169588999696,0.175,0.606,0.000104826781664594
"TMEM144",3.51143694083114e-09,-4.06001790882664,0.012,0.242,0.000106666919951628
"BANK1",3.70227238060904e-09,2.22590254954095,0.723,0.485,0.000112463928105761
"CKS2",3.7599527682158e-09,-1.75939982025286,0.217,0.621,0.000114216085240091
"M6PR",3.82755647881812e-09,-1.19017015108376,0.38,0.848,0.000116269683157058
"FCRL1",3.84114827641641e-09,2.30670658853465,0.476,0.045,0.000116682561192701
"DOCK1",4.44434375676979e-09,-6.11942284611026,0,0.197,0.000135005830299396
"XBP1",4.51291300916149e-09,-1.46506157150175,0.247,0.697,0.000137088758479298
"CCR5AS",4.53096603220674e-09,-2.37693708471632,0.096,0.439,0.000137637155160344
"CD48",4.55426617200125e-09,2.24910341625041,0.663,0.333,0.000138344943506882
"DSE",4.57421366645807e-09,-1.82477759600416,0.078,0.424,0.000138950888545997
"SRI",4.61664918043673e-09,-1.101193400151,0.223,0.682,0.000140239952154127
"PAIP1",4.64100997685193e-09,-1.32534831104911,0.096,0.47,0.000140979960066831
"FRMD4B",4.64850372581717e-09,-2.44563844803251,0.054,0.348,0.000141207597679148
"WDFY2",4.70141607128978e-09,-1.2560574300892,0.211,0.667,0.00014281491599757
"KCNA5",4.78636319699242e-09,-3.62037485762832,0.024,0.273,0.000145395354835039
"CCR1",4.91074407155408e-09,-3.81811026614417,0.024,0.273,0.000149173672661598
"PFKFB2",4.95852371030354e-09,-1.79235459480592,0.114,0.47,0.000150625074747891
"CHMP5",5.27245459202782e-09,-1.28733809399631,0.259,0.712,0.000160161353142029
"DYNLL1",5.46149801252353e-09,-1.25543796260319,0.367,0.788,0.000165903925126427
"GTF2A2",5.65473373849065e-09,-1.62723457265555,0.199,0.591,0.000171773846774131
"CNTNAP1",5.7257902241979e-09,-3.42690997234243,0.024,0.273,0.00017393232964046
"SAT1",5.79078068192647e-09,-1.40598251473605,0.404,0.803,0.00017590654477488
"ABRACL",6.0888061353451e-09,-1.33783175147655,0.127,0.515,0.000184959663973378
"TPP1",6.24599159533407e-09,-1.12296309781913,0.494,0.864,0.000189734486691463
"IL18R1",6.27493345199675e-09,-2.44381820498472,0.042,0.318,0.000190613653471305
"RGS10",6.28500265264468e-09,-1.60900344284843,0.157,0.561,0.000190919525579387
"CDYL",6.32089193441038e-09,-1.53185239402773,0.169,0.591,0.000192009734291584
"UCP2",6.56261809610091e-09,-0.945659866211822,0.608,0.97,0.000199352649905257
"TLR7",6.67680104727257e-09,-1.34535819185751,0.247,0.712,0.000202821185412999
"CBX6",6.98703210212976e-09,-1.34081867713393,0.187,0.606,0.000212245074166396
"ZFP36",7.54812258650956e-09,-1.04574982850283,0.801,0.97,0.000229289319810401
"FABP5",7.86981221165359e-09,-2.47504459692101,0.072,0.379,0.000239061285553401
"NDUFA1",7.94217275906222e-09,-1.05380544459866,0.494,0.939,0.000241259381902033
"GPX7",8.13638990509074e-09,-1.75094680406952,0.108,0.455,0.000247159116146941
"KLF2",8.2379125070176e-09,3.00603268860329,0.566,0.167,0.000250243068225674
"AK2",8.58553252227163e-09,-1.24025197276291,0.199,0.652,0.000260802721429045
"COX7A2L",8.94056678980636e-09,-1.25737107021655,0.319,0.773,0.000271587597373948
"LAP3",9.06718996679167e-09,-1.69800240037716,0.199,0.591,0.000275434029621231
"TUBB6",9.21847546310476e-09,-1.48453657487985,0.157,0.545,0.000280029629142733
"MEF2D",9.25158634763441e-09,-1.24417434359948,0.241,0.697,0.00028103543848209
