"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RUFY1",0.0157694867604819,-0.442343899896686,0.259,0.47,1
"RMDN1",0.0158225973470908,-0.596450314086164,0.133,0.273,1
"RECQL",0.0158654736437755,-0.428261524944606,0.193,0.379,1
"ERO1B",0.015895412531743,-0.210863912475241,0.102,0.242,1
"SLC23A2",0.0159340151038617,-0.71837755723558,0.181,0.348,1
"NAALADL2",0.0160105613036094,-1.4582369519071,0.036,0.121,1
"AP5Z1",0.0160113486302042,-0.763213993918449,0.042,0.136,1
"PDLIM5",0.0160516749419369,-0.12737624459573,0.102,0.242,1
"GOLGA8B",0.0160674057421509,-0.414851412290336,0.145,0.303,1
"LRRFIP1",0.0161513412374606,-0.422258160543483,0.578,0.894,1
"UBXN8",0.0161665649208079,-1.12541524574814,0.054,0.152,1
"PVT1",0.0161677309819117,2.73720505529782,0.114,0.015,1
"RBM38",0.0162092861858209,2.96553549187856,0.175,0.061,1
"SNHG31",0.016242461612458,-1.34748193692995,0.036,0.121,1
"BRD3",0.0162433792884172,-0.762978855870422,0.12,0.258,1
"PCBD1",0.0162855059206941,-0.429179398154339,0.06,0.167,1
"PTK2B",0.0162978749979131,1.42388892790085,0.446,0.364,1
"CTSO",0.016324535064284,-0.341380939625682,0.175,0.364,1
"SHFL",0.0163453347766968,1.66011173172472,0.38,0.273,1
"IAH1",0.0164088179131704,-0.33799118185053,0.096,0.227,1
"SRC",0.0164743939147331,-0.59069400831175,0.09,0.212,1
"QSOX1",0.0164773084701768,-1.25607612561647,0.036,0.121,1
"RPL23A",0.0165787370397618,0.335556865452712,0.97,0.909,1
"TMSB10",0.0166706742476586,-0.216463002746009,0.771,0.985,1
"SUGP1",0.016677518854994,-0.106587759430325,0.06,0.167,1
"TAF4B",0.0167023549430054,2.34457445832703,0.193,0.076,1
"ACAD9",0.0167151327523646,-0.840410211658721,0.036,0.121,1
"DNAJB4",0.0167151327523646,-0.854367441620131,0.036,0.121,1
"FES",0.0167151327523646,-1.52652913640993,0.036,0.121,1
"EIF3H",0.0167564547053791,-0.342399754837307,0.633,0.864,1
"ZDHHC3",0.0167957148522107,-0.747021351819004,0.078,0.197,1
"AVEN",0.0168711197939341,-0.62676512627067,0.072,0.182,1
"NOMO1",0.0168766144245277,-0.8186559110224,0.06,0.167,1
"RPP25L",0.0168982726803098,-0.325094977758312,0.042,0.136,1
"HDAC9",0.0169594539446171,-0.292844253821661,0.337,0.576,1
"ICE1",0.017005619901962,-0.425124243945983,0.139,0.288,1
"METTL7A",0.0170873806950173,-0.206879077809356,0.38,0.652,1
"TSPAN3",0.0170886186718116,-0.262114899578922,0.331,0.576,1
"EDRF1",0.0171562344252354,-0.770763463614015,0.114,0.242,1
"SIGLEC10",0.0171657745417202,2.61458163878312,0.157,0.045,1
"NUDT2",0.017199838223137,-1.12117333302483,0.036,0.121,1
"SGO1",0.017199838223137,-0.947968864755833,0.036,0.121,1
"SERTAD3",0.0172031979847004,-0.875574286507904,0.054,0.152,1
"CCNI",0.0172764443080068,0.549991430450593,0.765,0.879,1
"ALAS1",0.0172810729247462,-0.928876866794837,0.06,0.167,1
"TRIM22",0.0173056667680131,-0.32231401737714,0.747,0.939,1
"SOD2",0.0173066607427913,-0.561432908293656,0.139,0.288,1
"ILRUN",0.017332014417664,2.39940508470033,0.193,0.076,1
"ELOVL1",0.0173468295286831,-0.433490680582794,0.078,0.197,1
"BLVRB",0.0173873044454214,-2.00702529822999,0.03,0.106,1
"PLCB1",0.0173873044454214,-2.1144851403322,0.03,0.106,1
"INAFM2",0.0174447221172758,-0.867731133542641,0.072,0.182,1
"TXNDC9",0.0174467822943071,-0.899369151339014,0.036,0.121,1
"HPS5",0.0174769453120082,-0.655957164667507,0.151,0.303,1
"DDIT4",0.0175114184336382,-0.547979225955631,0.193,0.364,1
"DGKD",0.0175124469402577,2.3970602880653,0.211,0.091,1
"SMC6",0.0175539299973962,-0.351178472887645,0.524,0.788,1
"SNHG14",0.0175924735821433,-0.476929017109257,0.265,0.485,1
"TRIM24",0.0176339052705744,-1.35900913964328,0.054,0.152,1
"ID3",0.0176395892156541,3.37769562727391,0.133,0.03,1
"PNPO",0.0176968295555949,-0.831763606581791,0.036,0.121,1
"BEND6",0.0177096999655479,-1.44175022420116,0.066,0.167,1
"EIF4G2",0.0178195356455317,-0.342096074005438,0.705,0.909,1
"VPS54",0.0178365584688151,-0.626093471425887,0.072,0.182,1
"RASAL2",0.0178527818936748,3.35180840543471,0.108,0.015,1
"ZBP1",0.0178527818936748,3.68669881384454,0.108,0.015,1
"MIEN1",0.0179284350263355,-0.302290693090165,0.151,0.303,1
"ABCB7",0.0179399839761328,-0.211826965466412,0.108,0.242,1
"FBXO8",0.0179500120154196,-1.38484173914331,0.036,0.121,1
"NCKIPSD",0.0179500120154196,-0.582389280155806,0.036,0.121,1
"RPL13",0.0179527558638367,0.302235283723102,0.964,0.955,1
"PTEN",0.0180522705484408,-0.107822437380357,0.349,0.621,1
"NAE1",0.0180657004268013,-0.394366047919719,0.09,0.212,1
"DDRGK1",0.0180740351646809,-0.65492787846351,0.054,0.152,1
"PYROXD1",0.0181061906161443,-0.592361653805526,0.078,0.197,1
"TNRC6B",0.018120594185113,0.920495433620977,0.657,0.636,1
"METTL5",0.0181375314785308,0.171524055075398,0.181,0.364,1
"IMP4",0.0181545393658003,-0.550687628790905,0.114,0.242,1
"C1orf162",0.0182050551231715,-0.277391768034186,0.235,0.424,1
"PCCA",0.0182063619094035,-0.559630138207365,0.036,0.121,1
"TRMT1",0.0182063619094035,-0.358175493156208,0.036,0.121,1
"SLC16A1-AS1",0.0182976862406441,-1.03493120365325,0.054,0.152,1
"C11orf58",0.0183000218771576,-0.234905452442538,0.494,0.818,1
"ATP2B1",0.0183333735218125,1.81554934327226,0.404,0.318,1
"CNOT8",0.0183767798966168,-0.144752199942875,0.211,0.409,1
"GALNT1",0.0184079511708601,-0.416224865997933,0.229,0.424,1
"ANP32A",0.0184237372127714,-0.266586067219468,0.422,0.682,1
