"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ANKRD36B",0.847610787268033,-0.341022413450458,0.355,0.344,1
"CHD6",0.847645015999278,0.1102959458625,0.415,0.442,1
"IL1RL2",0.847974005383922,0.550754702980717,0.028,0.032,1
"ZNF436-AS1",0.848040756889837,0.196543458959465,0.048,0.046,1
"ANKRD22",0.848068483125356,0.665410227501456,0.012,0.014,1
"C2CD4D-AS1",0.848068483125356,-0.513453243114347,0.012,0.014,1
"EIF3CL",0.848068483125356,-0.15623223561591,0.012,0.014,1
"ENSG00000285091",0.848068483125356,0.105448410163818,0.012,0.014,1
"ENSG00000289407",0.848068483125356,0.104740074743261,0.012,0.014,1
"INF2",0.848068483125356,0.315997655297116,0.012,0.014,1
"LINC02884",0.848068483125356,-0.195090141483516,0.012,0.014,1
"LRRC37A",0.848068483125356,-0.41281538962921,0.012,0.014,1
"PIPOX",0.848068483125356,0.292548599353049,0.012,0.014,1
"PSMD6-AS1",0.848068483125356,0.139573333337594,0.012,0.014,1
"ENSG00000238039",0.848068483125356,-0.188828122370479,0.012,0.014,1
"ENSG00000287485",0.848068483125356,0.107802485730105,0.012,0.014,1
"ENSG00000248774",0.848191258456592,0.196050255788558,0.016,0.014,1
"ENSG00000270210",0.848191258456592,0.100034128689698,0.016,0.014,1
"ENSG00000286072",0.848191258456592,-0.203200852828039,0.016,0.014,1
"ENSG00000291156",0.848191258456592,-0.922491233000559,0.016,0.014,1
"PIP",0.848191258456592,-0.197250543475858,0.016,0.014,1
"RFC2",0.84820086668777,0.186398123263481,0.052,0.049,1
"RAB3IP",0.848209770149175,0.15459658599987,0.617,0.635,1
"EP300-AS1",0.848316661424281,0.155588124262857,0.448,0.467,1
"ENO4",0.848345928203214,0.186374909877177,0.581,0.604,1
"SPRYD3",0.848514413585598,0.107122398405152,0.367,0.386,1
"NME9",0.848929020294804,-0.111576051920525,0.609,0.632,1
"ACBD5",0.848938471335551,0.179356767367047,0.323,0.33,1
"NIPAL3",0.849086286613524,0.158591389767455,0.214,0.232,1
"MAP3K13",0.849156208874025,0.140879268491781,0.617,0.625,1
"ERF",0.849267330937089,0.195311605909706,0.242,0.263,1
"MAT1A",0.849289031846469,0.285984558345534,0.081,0.088,1
"L3HYPDH",0.850089318349772,-0.190095917232418,0.19,0.196,1
"GARRE1",0.850222538338935,0.276563900112077,0.198,0.211,1
"PRSS23",0.850289184863863,-0.28157534270427,0.016,0.014,1
"TBC1D30",0.850289184863863,-0.230163453704647,0.016,0.014,1
"CNNM3-DT",0.850309119945073,0.384948050696795,0.012,0.014,1
"DGCR11",0.850309119945073,0.24742593615567,0.012,0.014,1
"ENSG00000274859",0.850309119945073,0.32085976431645,0.012,0.014,1
"ENSG00000278002",0.850309119945073,-0.138578148294737,0.012,0.014,1
"ENSG00000287126",0.850309119945073,0.159894860650413,0.012,0.014,1
"ENSG00000289214",0.850309119945073,0.182395588247096,0.012,0.014,1
"KLHL31",0.850309119945073,0.321221186857431,0.012,0.014,1
"LINC01521",0.850309119945073,0.362841050011559,0.012,0.014,1
"LINC02937",0.850309119945073,-0.120027201737942,0.012,0.014,1
"NALF2",0.850309119945073,0.214495493647846,0.012,0.014,1
"SMG1-DT",0.850309119945073,0.222973631384376,0.012,0.014,1
"TBC1D10A",0.850309119945073,0.196970441535648,0.012,0.014,1
"ENSG00000287306",0.850452845323842,0.507724049669164,0.048,0.046,1
"KLHL2",0.850589543026785,0.189310941140327,0.238,0.246,1
"BLVRB",0.850823011014411,0.116787542227778,0.141,0.137,1
"ENSG00000272822",0.850987152021571,0.332988955761345,0.101,0.098,1
"AKAP17A",0.851049382393269,0.287237416224648,0.327,0.351,1
"NOM1",0.851511403987843,0.181982855096189,0.214,0.232,1
"LYPLAL1",0.851762979898005,0.201446618412351,0.137,0.147,1
"ZBTB17",0.851868351354333,0.325448745845725,0.093,0.102,1
"HMGA1",0.852053254840489,0.408821866557371,0.113,0.112,1
"FAM167A",0.852074655677519,0.211358348286726,0.081,0.077,1
"ENSG00000237626",0.852388171701231,-0.247911746451057,0.016,0.014,1
"ENSG00000271788",0.852388171701231,-0.175908439218022,0.016,0.014,1
"RTL8B",0.85244694725961,0.171451256977336,0.065,0.07,1
"C4orf36",0.852550966245122,-0.115763282716593,0.012,0.014,1
"ENSG00000243620",0.852550966245122,0.368145136162155,0.012,0.014,1
"ENSG00000265478",0.852550966245122,-0.263246912463409,0.012,0.014,1
"TEX46",0.852550966245122,0.216222152712288,0.012,0.014,1
"ENSG00000286675",0.852550966245122,0.322549916923419,0.012,0.014,1
"PSTK",0.852866334063576,0.233694686827794,0.048,0.046,1
"COLQ",0.853038865041185,0.121694820789588,0.23,0.225,1
"REXO5",0.853279443694217,-0.43440210159034,0.06,0.063,1
"NMNAT1",0.853287545828622,0.223114102978666,0.125,0.137,1
"GOT1-DT",0.853435133480607,0.17130879249194,0.048,0.053,1
"BSG-AS1",0.853469922460923,0.557552641021783,0.044,0.049,1
"ZSCAN20",0.853474524329068,-0.227315494196855,0.032,0.035,1
"PGRMC2",0.853573904607499,0.264518840645054,0.448,0.46,1
"WFS1",0.854155210306442,0.150647324807011,0.56,0.593,1
"ATF5",0.854171630583809,0.126078965275122,0.129,0.137,1
"EARS2",0.854282304173589,0.102523945946126,0.274,0.295,1
"ENSG00000227227",0.854329956754783,0.860072220186851,0.012,0.011,1
"ENSG00000271344",0.854329956754783,0.41815164106886,0.012,0.011,1
"ENSG00000274667",0.854329956754783,0.871278035753988,0.012,0.011,1
"ENSG00000275532",0.854329956754783,0.771936514187107,0.012,0.011,1
"ENSG00000285878",0.854329956754783,0.891098791663521,0.012,0.011,1
"ENSG00000287601",0.854329956754783,0.9775579227039,0.012,0.011,1
"ENSG00000288587",0.854329956754783,0.553397578650753,0.012,0.011,1
"F11-AS1",0.854329956754783,0.915993426370761,0.012,0.011,1
"SLC25A18",0.854329956754783,0.616235898685511,0.012,0.011,1
"SRRM5",0.854329956754783,0.736969169079161,0.012,0.011,1
"SULT1B1",0.854329956754783,0.631278588302674,0.012,0.011,1
"TTC6",0.854329956754783,1.10043256435406,0.012,0.011,1
"USP12-DT",0.854329956754783,0.723845663458714,0.012,0.011,1
"ZNF350-AS1",0.854329956754783,0.73122595732696,0.012,0.011,1
"ENSG00000284640",0.854329956754783,0.70960046852792,0.012,0.011,1
"HS3ST6",0.854329956754783,0.935146462510407,0.012,0.011,1
"VSIG2",0.854338358439769,-0.28681755401784,0.06,0.063,1
"RNF41",0.854762912186372,0.158387902736205,0.371,0.389,1
"ENSG00000271659",0.854794004338148,0.276269265293647,0.012,0.014,1
"ENSG00000278932",0.854794004338148,0.417579534233056,0.012,0.014,1
"ENSG00000289159",0.854794004338148,0.26601128095651,0.012,0.014,1
"HSD17B2",0.854794004338148,0.636311642166672,0.012,0.014,1
"LINC00960",0.854794004338148,0.253112476915932,0.012,0.014,1
"OTOGL",0.854794004338148,1.01641401930086,0.012,0.014,1
"PRNCR1",0.854794004338148,0.323357642572136,0.012,0.014,1
"PSMD9",0.854794004338148,0.444279071056349,0.012,0.014,1
"PTPRG-AS1",0.854794004338148,0.346406006086947,0.012,0.014,1
"VWDE",0.854794004338148,0.424062371599962,0.012,0.014,1
"DECR1",0.854912106533766,0.148511327829835,0.573,0.607,1
"DENND3-AS1",0.855127698800802,0.55301718905961,0.044,0.042,1
"PRDX6-AS1",0.85538833635517,-0.243823067296814,0.077,0.081,1
"TRMT61A-DT",0.855452008021985,0.489464343353132,0.028,0.032,1
"MKRN2",0.855554357364796,0.296914472739441,0.206,0.221,1
"ENSG00000291283",0.855708348393605,0.54990947106888,0.081,0.088,1
"BCKDHB",0.855939001061889,0.301166662659033,0.117,0.126,1
"NUDT4",0.856503019488609,0.176684684487095,0.254,0.253,1
"GRHL1",0.856514656075464,0.68282781079349,0.065,0.07,1
"CACTIN",0.856572164030011,0.649476886252579,0.173,0.175,1
"CPO",0.856751490085487,0.648636729904751,0.012,0.011,1
"ENSG00000229312",0.856751490085487,0.729428460600274,0.012,0.011,1
"ENSG00000258416",0.856751490085487,0.761052123058541,0.012,0.011,1
"ENSG00000258646",0.856751490085487,0.725930520735703,0.012,0.011,1
"ENSG00000260934",0.856751490085487,0.709133588462567,0.012,0.011,1
"ENSG00000268573",0.856751490085487,0.725335960994896,0.012,0.011,1
"ENSG00000286177",0.856751490085487,0.995060294813923,0.012,0.011,1
"ENSG00000288746",0.856751490085487,0.55885410125744,0.012,0.011,1
"LINC00638",0.856751490085487,0.987945298014816,0.012,0.011,1
"LINC02896",0.856751490085487,1.00802042671023,0.012,0.011,1
"ZAP70",0.856751490085487,0.658102860233976,0.012,0.011,1
"ANAPC1",0.856813183922617,0.247498328582689,0.218,0.218,1
"DUS3L",0.856949190050705,0.69557534100394,0.028,0.032,1
"ENSG00000265496",0.856949190050705,0.653592840487927,0.028,0.032,1
"ATF7",0.856990281965248,0.193678396139968,0.238,0.263,1
"A2M-AS1",0.857038216507898,0.558396425933227,0.012,0.014,1
