Total Reads                   46604979
Total Tags                    68102197
Total Assigned Tags           67269683
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           121533301           62915582            517.68            
5'UTR_Exons         0                   0                   0.00              
3'UTR_Exons         0                   0                   0.00              
Introns             1471768983          3435003             2.33              
TSS_up_1kb          21057590            233584              11.09             
TSS_up_5kb          95879215            553312              5.77              
TSS_up_10kb         177099366           656874              3.71              
TES_down_1kb        23369863            55909               2.39              
TES_down_5kb        102580558           172936              1.69              
TES_down_10kb       184137734           262224              1.42              
=====================================================================
