Total Reads                   46524450
Total Tags                    66681653
Total Assigned Tags           66032542
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           121533301           62206601            511.85            
5'UTR_Exons         0                   0                   0.00              
3'UTR_Exons         0                   0                   0.00              
Introns             1471768983          2360777             1.60              
TSS_up_1kb          21057590            427123              20.28             
TSS_up_5kb          95879215            1172459             12.23             
TSS_up_10kb         177099366           1281433             7.24              
TES_down_1kb        23369863            46864               2.01              
TES_down_5kb        102580558           126335              1.23              
TES_down_10kb       184137734           183731              1.00              
=====================================================================
