Total Reads                   46934198
Total Tags                    69637559
Total Assigned Tags           68851031
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           121533301           64626087            531.76            
5'UTR_Exons         0                   0                   0.00              
3'UTR_Exons         0                   0                   0.00              
Introns             1471768983          3441156             2.34              
TSS_up_1kb          21057590            194221              9.22              
TSS_up_5kb          95879215            436965              4.56              
TSS_up_10kb         177099366           534754              3.02              
TES_down_1kb        23369863            52393               2.24              
TES_down_5kb        102580558           161310              1.57              
TES_down_10kb       184137734           249034              1.35              
=====================================================================
